Year,Month,Region,Revenue,Expenses,Profit,Net Margin (%),Transactions
2024,Feb,South,32405,12443,19962,61.6,999
2024,Feb,East,31684,18030,13654,43.09,4496
2024,Feb,West,13510,9068,4442,32.88,1321
2024,Feb,Central,41813,5851,35962,86.01,2179
2024,Mar,North,17322,8144,9178,52.98,3945
2024,Mar,South,11797,6968,4829,40.93,3400
2024,Mar,East,41257,22957,18300,44.36,2592
2024,Mar,West,11685,8968,2717,23.25,4654
2024,Mar,Central,34212,7389,26823,78.4,1245
2024,Apr,North,40694,28982,11712,28.78,2380
2024,Apr,South,18409,13706,4703,25.55,3896
2024,Apr,East,34877,20472,14405,41.3,1839
2024,Apr,West,22769,6373,16396,72.01,1806
2024,Apr,Central,17855,8452,9403,52.66,2463
2024,May,North,47096,31132,15964,33.9,4911
2024,May,South,26307,22526,3781,14.37,4870
2024,May,East,32271,10844,21427,66.4,4938
2024,May,West,44978,42280,2698,6.0,2447
2024,May,Central,42711,33269,9442,22.11,2821
2024,Jun,North,35691,18537,17154,48.06,4430
2024,Jun,South,47170,25761,21409,45.39,1752
2024,Jun,East,17700,14367,3333,18.83,1928
2024,Jun,West,42555,32947,9608,22.58,2337
2024,Jun,Central,34229,14234,19995,58.42,3502
2024,Jul,North,37539,10770,26769,71.31,2394
2024,Jul,South,45723,10967,34756,76.01,3024
2024,Jul,East,17994,6334,11660,64.8,1884
2024,Jul,West,35209,16474,18735,53.21,2896
2024,Jul,Central,22932,17945,4987,21.75,833
2024,Aug,North,43008,22353,20655,48.03,1313
2024,Aug,South,32475,24217,8258,25.43,3720
2024,Aug,East,30506,8431,22075,72.36,2125
2024,Aug,West,32983,30708,2275,6.9,4621
2024,Aug,Central,11550,7787,3763,32.58,4181
2024,Sep,North,29387,18736,10651,36.24,4460
2024,Sep,South,40246,26055,14191,35.26,3888
2024,Sep,East,26967,20408,6559,24.32,3380
2024,Sep,West,13415,12127,1288,9.6,1881
2024,Sep,Central,18661,7922,10739,57.55,4789
2024,Oct,North,46043,33524,12519,27.19,4135
2024,Oct,South,49340,42561,6779,13.74,3449
2024,Oct,East,14072,5358,8714,61.92,1271
2024,Oct,West,47918,14798,33120,69.12,1106
2024,Oct,Central,47278,18242,29036,61.42,3257
2024,Nov,North,10288,7218,3070,29.84,818
2024,Nov,South,14594,6915,7679,52.62,2218
2024,Nov,East,44731,31647,13084,29.25,3168
2024,Nov,West,16686,5119,11567,69.32,3592
2024,Nov,Central,27258,12098,15160,55.62,2785
2024,Dec,North,21094,7603,13491,63.96,4682
2024,Dec,South,10586,5275,5311,50.17,2492
2024,Dec,East,38153,22096,16057,42.09,4528
2024,Dec,West,41587,10999,30588,73.55,1703
2024,Dec,Central,17252,10184,7068,40.97,4926
